,NV,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,NV_CURR
1/11/21,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414
1/12/21,0.00080649,0.00080472,0.00074702,0.00074702,0.00074702,0.00074702,0.00073116,0.00073116,0.00074702,0.00074702,0.00073116,0.00073116,0.00074814
1/13/21,0.00092325,0.00091802,0.00075806,0.00075806,0.00075806,0.00075806,0.00071473,0.00071473,0.00075806,0.00075806,0.00071473,0.00071473,0.00076128
1/14/21,0.00103,0.0010211,0.00076861,0.00076861,0.00076861,0.00076861,0.00070212,0.00070212,0.00076861,0.00076861,0.00070212,0.00070212,0.00077387
1/15/21,0.0011344,0.0011212,0.00077851,0.00077851,0.00077851,0.00077851,0.00069144,0.00069144,0.00077851,0.00077851,0.00069144,0.00069144,0.00078584
1/16/21,0.0012399,0.0012217,0.00078758,0.00078758,0.00078758,0.00078758,0.00068162,0.00068162,0.00078758,0.00078758,0.00068162,0.00068162,0.00079713
1/17/21,0.0013485,0.0013237,0.00079555,0.00079555,0.00079555,0.00079555,0.00067189,0.00067189,0.00079555,0.00079555,0.00067189,0.00067189,0.00080771
1/18/21,0.0014605,0.0014278,0.00080237,0.00080237,0.00080237,0.00080237,0.00066195,0.00066195,0.00080237,0.00080237,0.00066195,0.00066195,0.00081753
1/19/21,0.0015758,0.0015334,0.00080801,0.00080801,0.00080801,0.00080801,0.00065166,0.00065166,0.00080801,0.00080801,0.00065166,0.00065166,0.00082657
1/20/21,0.0016939,0.0016401,0.00081246,0.00081246,0.00081246,0.00081246,0.00064095,0.00064095,0.00081246,0.00081246,0.00064095,0.00064095,0.00083479
1/21/21,0.0018138,0.0017467,0.0008157,0.0008157,0.0008157,0.0008157,0.0006298,0.0006298,0.0008157,0.0008157,0.0006298,0.0006298,0.00084215
1/22/21,0.0019342,0.0018519,0.00081772,0.00081772,0.00081772,0.00081772,0.00061822,0.00061822,0.00081772,0.00081772,0.00061822,0.00061822,0.00084864
1/23/21,0.0020538,0.0019545,0.00081849,0.00081849,0.00081849,0.00081849,0.00060624,0.00060624,0.00081849,0.00081849,0.00060624,0.00060624,0.00085423
1/24/21,0.0021708,0.002053,0.00081802,0.00081802,0.00081802,0.00081802,0.00059387,0.00059387,0.00081802,0.00081802,0.00059387,0.00059387,0.00085888
1/25/21,0.0022837,0.0021457,0.00081632,0.00081632,0.00081632,0.00081632,0.00058117,0.00058117,0.00081632,0.00081632,0.00058117,0.00058117,0.00086259
1/26/21,0.0023907,0.0022313,0.00081338,0.00081338,0.00081338,0.00081338,0.00056816,0.00056816,0.00081338,0.00081338,0.00056816,0.00056816,0.00086533
1/27/21,0.0024899,0.0023083,0.00080923,0.00080923,0.00080923,0.00080923,0.00055489,0.00055489,0.00080923,0.00080923,0.00055489,0.00055489,0.00086709
1/28/21,0.0025798,0.0023754,0.0008039,0.0008039,0.0008039,0.0008039,0.0005414,0.0005414,0.0008039,0.0008039,0.0005414,0.0005414,0.00086786
1/29/21,0.0026589,0.0024316,0.0007974,0.0007974,0.0007974,0.0007974,0.00052772,0.00052772,0.0007974,0.0007974,0.00052772,0.00052772,0.00086764
1/30/21,0.0027258,0.002476,0.00078978,0.00078978,0.00078978,0.00078978,0.00051389,0.00051389,0.00078978,0.00078978,0.00051389,0.00051389,0.00086641
1/31/21,0.0027795,0.0025081,0.00078108,0.00078108,0.00078108,0.00078108,0.00049996,0.00049996,0.00078108,0.00078108,0.00049996,0.00049996,0.00086419
2/1/21,0.0028195,0.0025275,0.00077135,0.00077135,0.00077135,0.00077135,0.00048595,0.00048595,0.00077135,0.00077135,0.00048595,0.00048595,0.00086098
2/2/21,0.0028452,0.0025342,0.00076123,0.00076063,0.00076075,0.00076063,0.00047203,0.00047191,0.00076063,0.00076063,0.00047191,0.00047191,0.00085679
2/3/21,0.0028567,0.0025286,0.0007711,0.00074899,0.0007534,0.00074899,0.00046206,0.00045787,0.00074899,0.00074899,0.00045787,0.00045787,0.00085165
2/4/21,0.0028541,0.002511,0.00082435,0.00073651,0.00075396,0.00073651,0.00046031,0.00044387,0.00073651,0.00073651,0.00044387,0.00044387,0.00084557
2/5/21,0.0028381,0.0024823,0.00089223,0.00072329,0.00075654,0.00072329,0.00046108,0.00042997,0.00072329,0.00072329,0.00042997,0.00042997,0.00083857
2/6/21,0.0028093,0.0024432,0.00094799,0.0007094,0.00075564,0.0007094,0.00045918,0.00041619,0.0007094,0.0007094,0.00041619,0.00041619,0.00083071
2/7/21,0.0027686,0.0023948,0.00099674,0.00069489,0.00075231,0.00069489,0.0004556,0.00040255,0.00069489,0.00069489,0.00040255,0.00040255,0.00082199
2/8/21,0.0027172,0.0023381,0.001041,0.00067984,0.00074714,0.00067984,0.00045092,0.00038908,0.00067984,0.00067984,0.00038908,0.00038908,0.00081248
2/9/21,0.0026562,0.0022743,0.0010822,0.00066432,0.00074052,0.00066432,0.00044547,0.00037581,0.00066432,0.00066432,0.00037581,0.00037581,0.0008022
2/10/21,0.0025869,0.0022045,0.0011206,0.0006484,0.00073269,0.0006484,0.00043946,0.00036275,0.0006484,0.0006484,0.00036275,0.00036275,0.00079121
2/11/21,0.0025104,0.0021296,0.0011566,0.00063215,0.0007238,0.00063215,0.00043302,0.00034991,0.00063215,0.00063215,0.00034991,0.00034991,0.00077956
2/12/21,0.002428,0.0020509,0.00119,0.00061563,0.00071397,0.00061563,0.00042624,0.00033732,0.00061563,0.00061563,0.00033732,0.00033732,0.00076729
2/13/21,0.002341,0.0019693,0.0012207,0.0005989,0.00070329,0.0005989,0.00041917,0.00032499,0.0005989,0.0005989,0.00032499,0.00032499,0.00075445
2/14/21,0.0022504,0.0018857,0.0012484,0.00058202,0.00069184,0.00058202,0.00041185,0.00031292,0.00058202,0.00058202,0.00031292,0.00031292,0.0007411
2/15/21,0.0021574,0.0018009,0.001273,0.00056505,0.00067969,0.00056505,0.00040432,0.00030113,0.00056505,0.00056505,0.00030113,0.00030113,0.00072729
2/16/21,0.0020628,0.0017158,0.0012942,0.00054803,0.00066691,0.00054803,0.00039659,0.00028963,0.00054803,0.00054803,0.00028963,0.00028963,0.00071308
2/17/21,0.0019676,0.001631,0.0013119,0.00053103,0.00065356,0.00053103,0.00038871,0.00027841,0.00053103,0.00053103,0.00027841,0.00027841,0.00069851
2/18/21,0.0018726,0.0015471,0.001326,0.00051408,0.00063971,0.00051408,0.00038067,0.00026749,0.00051408,0.00051408,0.00026749,0.00026749,0.00068364
2/19/21,0.0017784,0.0014645,0.0013363,0.00049723,0.00062543,0.00049723,0.00037252,0.00025686,0.00049723,0.00049723,0.00025686,0.00025686,0.00066852
2/20/21,0.0016857,0.0013838,0.0013429,0.00048051,0.00061076,0.00048051,0.00036427,0.00024654,0.00048051,0.00048051,0.00024654,0.00024654,0.0006532
2/21/21,0.0015949,0.0013052,0.0013456,0.00046397,0.00059578,0.00046397,0.00035593,0.00023651,0.00046397,0.00046397,0.00023651,0.00023651,0.00063772
2/22/21,0.0015066,0.0012291,0.0013446,0.00044763,0.00058054,0.00044763,0.00034753,0.00022679,0.00044763,0.00044763,0.00022679,0.00022679,0.00062214
2/23/21,0.0014209,0.0011557,0.0013399,0.00043153,0.00056509,0.00043153,0.00033908,0.00021736,0.00043153,0.00043153,0.00021736,0.00021736,0.00060648
2/24/21,0.0013382,0.0010852,0.0013317,0.0004157,0.00054949,0.0004157,0.0003306,0.00020824,0.0004157,0.0004157,0.00020824,0.00020824,0.0005908
2/25/21,0.0012587,0.0010177,0.00132,0.00040015,0.00053379,0.00040015,0.00032211,0.00019941,0.00040015,0.00040015,0.00019941,0.00019941,0.00057513
2/26/21,0.0011825,0.00095315,0.0013051,0.00038491,0.00051804,0.00038491,0.00031362,0.00019087,0.00038491,0.00038491,0.00019087,0.00019087,0.00055951
2/27/21,0.0011097,0.00089173,0.0012872,0.00036999,0.00050229,0.00036999,0.00030515,0.00018262,0.00036999,0.00036999,0.00018262,0.00018262,0.00054397
2/28/21,0.0010404,0.0008334,0.0012664,0.00035542,0.00048657,0.00035542,0.00029671,0.00017466,0.00035542,0.00035542,0.00017466,0.00017466,0.00052854
3/1/21,0.00097455,0.00077814,0.0012432,0.0003412,0.00047093,0.0003412,0.00028832,0.00016698,0.0003412,0.0003412,0.00016698,0.00016698,0.00051324
3/2/21,0.00091212,0.0007259,0.0012176,0.00032735,0.0004554,0.00032735,0.00027999,0.00015957,0.00032735,0.00032735,0.00015957,0.00015957,0.00049811
3/3/21,0.00085306,0.00067661,0.0011899,0.00031387,0.00044002,0.00031387,0.00027174,0.00015244,0.00031387,0.00031387,0.00015244,0.00015244,0.00048317
3/4/21,0.00079731,0.00063018,0.0011604,0.00030077,0.00042482,0.00030077,0.00026356,0.00014557,0.00030077,0.00030077,0.00014557,0.00014557,0.00046843
3/5/21,0.00074477,0.00058653,0.0011295,0.00028805,0.00040982,0.00028805,0.00025548,0.00013896,0.00028805,0.00028805,0.00013896,0.00013896,0.00045392
3/6/21,0.00069534,0.00054556,0.0010972,0.00027572,0.00039506,0.00027572,0.00024751,0.00013261,0.00027572,0.00027572,0.00013261,0.00013261,0.00043966
3/7/21,0.00064889,0.00050714,0.0010639,0.00026378,0.00038055,0.00026378,0.00023964,0.0001265,0.00026378,0.00026378,0.0001265,0.0001265,0.00042564
3/8/21,0.0006053,0.00047117,0.0010298,0.00025223,0.00036631,0.00025223,0.0002319,0.00012064,0.00025223,0.00025223,0.00012064,0.00012064,0.0004119
