ENSEMBLE,NV,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10 ,V11,NV_CURR
38,0.37552,0.31491,0.25837,0.18247,0.18392,0.16715,0.13669,0.10902,0.16392,0.1639,0.10355,0.10346,0.2132
39,0.41937,0.36037,0.30532,0.22211,0.2248,0.20535,0.1723,0.1366,0.2018,0.20179,0.12891,0.12882,0.25855
40,0.2892,0.23045,0.17441,0.11883,0.11985,0.10935,0.086008,0.071703,0.10735,0.10732,0.069613,0.069588,0.13863
41,0.37312,0.31247,0.25588,0.18044,0.18185,0.16524,0.13495,0.1077,0.16204,0.16202,0.10235,0.10226,0.21086
42,0.43235,0.37413,0.31966,0.23474,0.23796,0.21785,0.18421,0.14613,0.21428,0.21426,0.13779,0.13769,0.27282
43,0.43296,0.37477,0.32033,0.23534,0.23858,0.21844,0.18478,0.14659,0.21487,0.21486,0.13822,0.13812,0.27349
44,0.36058,0.29979,0.24296,0.17005,0.17128,0.15554,0.12615,0.10111,0.15248,0.15246,0.096343,0.096264,0.19882
45,0.31339,0.2534,0.1966,0.13466,0.13564,0.12336,0.097844,0.080298,0.12098,0.12096,0.077434,0.077393,0.15739
46,0.29823,0.23895,0.18255,0.12455,0.12555,0.1144,0.090232,0.074767,0.11225,0.11223,0.072405,0.072374,0.14543
47,0.41637,0.35721,0.30203,0.21925,0.22182,0.20254,0.16964,0.13449,0.199,0.19899,0.12696,0.12686,0.25531
48,0.28454,0.22611,0.17028,0.11596,0.117,0.10683,0.083918,0.070187,0.1049,0.10488,0.068229,0.068206,0.13522
49,0.39217,0.33198,0.2759,0.19697,0.19879,0.18093,0.14938,0.11869,0.17754,0.17752,0.1124,0.1123,0.22988
50,0.33448,0.27388,0.21687,0.14975,0.15077,0.13693,0.1096,0.088879,0.13423,0.13421,0.085228,0.08517,0.17514
51,0.32956,0.26907,0.21207,0.14612,0.14712,0.13365,0.10673,0.086778,0.13102,0.131,0.08332,0.083266,0.17088
52,0.34848,0.2877,0.23072,0.16041,0.16152,0.14665,0.11819,0.095197,0.14375,0.14373,0.090969,0.090899,0.18761
53,0.41854,0.3595,0.30441,0.22132,0.22397,0.20457,0.17156,0.13601,0.20103,0.20101,0.12837,0.12827,0.25765
54,0.27829,0.22032,0.16482,0.11221,0.11327,0.10354,0.081202,0.068216,0.10171,0.10168,0.066428,0.066409,0.13075
55,0.41612,0.35695,0.30176,0.21902,0.22158,0.20231,0.16942,0.13432,0.19878,0.19876,0.1268,0.1267,0.25504
56,0.41302,0.35369,0.29837,0.21608,0.21853,0.19943,0.1667,0.13217,0.19591,0.1959,0.12481,0.12471,0.25171
57,0.3797,0.31917,0.26273,0.18604,0.18758,0.17052,0.13978,0.11135,0.16725,0.16723,0.10569,0.1056,0.21732
58,0.29136,0.23248,0.17635,0.12018,0.1212,0.11054,0.087,0.072423,0.1085,0.10848,0.070269,0.070243,0.14024
59,0.27644,0.21862,0.16322,0.11112,0.11219,0.10259,0.080421,0.067649,0.10079,0.10076,0.065909,0.065891,0.12945
60,0.44823,0.3911,0.33743,0.25072,0.25467,0.23386,0.1996,0.15868,0.2303,0.23029,0.14958,0.14949,0.29074
61,0.30135,0.2419,0.18541,0.12658,0.12758,0.11619,0.091745,0.075866,0.114,0.11397,0.073404,0.073372,0.14784
62,0.36476,0.304,0.24724,0.17347,0.17475,0.15872,0.12902,0.10325,0.15561,0.15559,0.098296,0.098213,0.20279
63,0.32578,0.26538,0.20841,0.14338,0.14437,0.13118,0.10458,0.085207,0.1286,0.12858,0.081893,0.081842,0.16766
64,0.32487,0.2645,0.20753,0.14273,0.14372,0.13059,0.10407,0.084834,0.12803,0.12801,0.081555,0.081505,0.16689
65,0.27407,0.21644,0.16118,0.10974,0.11082,0.10138,0.079427,0.066928,0.09961,0.099586,0.065249,0.065231,0.12779
66,0.44991,0.3929,0.33931,0.25244,0.25647,0.2356,0.20128,0.16007,0.23204,0.23202,0.15089,0.1508,0.29267
67,0.2956,0.23647,0.18017,0.12286,0.12387,0.11291,0.08898,0.073859,0.1108,0.11078,0.071578,0.071549,0.14343
68,0.36979,0.30909,0.25242,0.17764,0.179,0.16262,0.13256,0.1059,0.15945,0.15943,0.10071,0.10062,0.20762
69,0.36345,0.30269,0.2459,0.1724,0.17366,0.15772,0.12812,0.10257,0.15463,0.15461,0.09768,0.097598,0.20154
70,0.42066,0.36174,0.30674,0.22335,0.22609,0.20657,0.17346,0.13752,0.20302,0.203,0.12977,0.12967,0.25996
71,0.32682,0.26639,0.20941,0.14413,0.14512,0.13185,0.10517,0.085634,0.12926,0.12924,0.082281,0.082229,0.16854
72,0.3361,0.27547,0.21845,0.15096,0.15198,0.13803,0.11056,0.089583,0.1353,0.13528,0.085868,0.085808,0.17656
73,0.34809,0.28731,0.23033,0.16011,0.16121,0.14637,0.11794,0.095014,0.14348,0.14346,0.090803,0.090733,0.18725
74,0.32832,0.26786,0.21087,0.14522,0.14622,0.13284,0.10602,0.08626,0.13022,0.1302,0.08285,0.082797,0.16983
75,0.2887,0.22999,0.17397,0.11852,0.11955,0.10908,0.085783,0.071539,0.10708,0.10706,0.069464,0.069439,0.13826
76,0.43993,0.38221,0.32811,0.24229,0.24585,0.22539,0.19144,0.152,0.22182,0.22181,0.14329,0.14319,0.28131
77,0.2818,0.22357,0.16787,0.1143,0.11536,0.10538,0.082715,0.069314,0.10349,0.10346,0.067432,0.067411,0.13324
78,0.42459,0.36588,0.31106,0.22714,0.23003,0.21031,0.17701,0.14035,0.20675,0.20673,0.1324,0.1323,0.26424
79,0.30941,0.24958,0.19287,0.13194,0.13293,0.12095,0.095783,0.078799,0.11863,0.11861,0.076071,0.076033,0.15419
80,0.38818,0.32787,0.27167,0.19344,0.19516,0.17755,0.14625,0.11629,0.17419,0.17417,0.1102,0.1101,0.22583
81,0.31236,0.25241,0.19563,0.13395,0.13493,0.12274,0.097306,0.079906,0.12037,0.12034,0.077078,0.077038,0.15655
82,0.33242,0.27187,0.21485,0.14823,0.14923,0.13555,0.10839,0.087992,0.13288,0.13285,0.084423,0.084366,0.17335
83,0.29964,0.24028,0.18385,0.12547,0.12647,0.11521,0.090914,0.075263,0.11304,0.11301,0.072856,0.072824,0.14652
84,0.422,0.36315,0.30821,0.22464,0.22743,0.20784,0.17467,0.13848,0.20428,0.20427,0.13066,0.13056,0.26141
85,0.33419,0.2736,0.21658,0.14953,0.15055,0.13673,0.10943,0.088753,0.13404,0.13401,0.085113,0.085056,0.17489
86,0.42843,0.36995,0.3153,0.23088,0.23393,0.21401,0.18054,0.14318,0.21044,0.21043,0.13503,0.13494,0.26847
87,0.34599,0.28523,0.22823,0.15848,0.15956,0.14488,0.11661,0.094033,0.14201,0.14199,0.089911,0.089843,0.18535
88,0.31103,0.25113,0.19439,0.13304,0.13403,0.12193,0.096617,0.079405,0.11958,0.11956,0.076622,0.076583,0.15548
89,0.41578,0.3566,0.30139,0.2187,0.22125,0.202,0.16913,0.13408,0.19846,0.19845,0.12658,0.12648,0.25468
90,0.41896,0.35995,0.30487,0.22173,0.2244,0.20497,0.17194,0.13631,0.20142,0.20141,0.12865,0.12855,0.25811
91,0.45073,0.39378,0.34024,0.25328,0.25736,0.23645,0.20211,0.16075,0.23289,0.23288,0.15154,0.15145,0.29361
92,0.36066,0.29988,0.24305,0.17012,0.17135,0.15561,0.12621,0.10115,0.15255,0.15253,0.096383,0.096304,0.1989
93,0.44714,0.38993,0.3362,0.2496,0.2535,0.23274,0.19852,0.15779,0.22917,0.22916,0.14874,0.14865,0.2895
94,0.39055,0.33031,0.27418,0.19553,0.1973,0.17954,0.1481,0.1177,0.17617,0.17615,0.1115,0.1114,0.22823
95,0.28676,0.22817,0.17224,0.11732,0.11835,0.10803,0.084905,0.070903,0.10606,0.10603,0.068883,0.068859,0.13684
96,0.28874,0.23003,0.174,0.11854,0.11957,0.1091,0.085801,0.071553,0.1071,0.10708,0.069476,0.069451,0.13829
97,0.30635,0.24665,0.19002,0.12988,0.13087,0.11912,0.094225,0.077667,0.11685,0.11682,0.075042,0.075007,0.15175
98,0.36914,0.30843,0.25174,0.17709,0.17844,0.1621,0.13209,0.10555,0.15894,0.15892,0.10039,0.10031,0.20699
99,0.3493,0.28852,0.23155,0.16106,0.16217,0.14724,0.11872,0.095586,0.14433,0.14431,0.091323,0.091252,0.18836
100,0.28014,0.22203,0.16643,0.11331,0.11437,0.10451,0.081998,0.068794,0.10265,0.10262,0.066956,0.066936,0.13206
