ENSEMBLE,NV,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10 ,V11,NV_CURR
1,0.3945,0.33439,0.27839,0.19905,0.20093,0.18292,0.15124,0.12012,0.17951,0.1795,0.11371,0.11361,0.23227
2,0.42732,0.36878,0.31407,0.22979,0.2328,0.21294,0.17952,0.14236,0.20937,0.20936,0.13426,0.13417,0.26724
3,0.44602,0.38872,0.33494,0.24845,0.2523,0.23158,0.1974,0.15687,0.22801,0.228,0.14787,0.14778,0.28822
4,0.29697,0.23776,0.18141,0.12374,0.12475,0.11368,0.08963,0.074331,0.11155,0.11153,0.072007,0.071978,0.14447
5,0.38917,0.32888,0.27271,0.1943,0.19605,0.17837,0.14702,0.11687,0.17501,0.17499,0.11074,0.11064,0.22682
6,0.376,0.31539,0.25886,0.18287,0.18434,0.16753,0.13704,0.10928,0.1643,0.16428,0.10379,0.1037,0.21367
7,0.33513,0.27452,0.2175,0.15023,0.15125,0.13737,0.10998,0.089159,0.13466,0.13463,0.085483,0.085424,0.17571
8,0.31372,0.25372,0.19691,0.13489,0.13587,0.12357,0.09802,0.080426,0.12118,0.12116,0.07755,0.077509,0.15766
9,0.3007,0.24128,0.18481,0.12615,0.12715,0.11581,0.091426,0.075634,0.11363,0.1136,0.073194,0.073162,0.14733
10,0.44755,0.39037,0.33666,0.25002,0.25394,0.23316,0.19893,0.15813,0.2296,0.22958,0.14906,0.14897,0.28997
11,0.41922,0.36021,0.30515,0.22197,0.22465,0.20521,0.17217,0.13649,0.20166,0.20165,0.12881,0.12872,0.25839
12,0.38216,0.32169,0.26532,0.18817,0.18975,0.17254,0.14163,0.11276,0.16924,0.16922,0.10697,0.10688,0.21977
13,0.44647,0.3892,0.33544,0.24891,0.25278,0.23204,0.19785,0.15724,0.22847,0.22846,0.14822,0.14813,0.28873
14,0.3549,0.2941,0.23719,0.16548,0.16665,0.15131,0.12235,0.098281,0.14833,0.14831,0.093773,0.093698,0.19351
15,0.28216,0.2239,0.16819,0.11452,0.11557,0.10557,0.082872,0.069428,0.10367,0.10365,0.067536,0.067515,0.1335
16,0.32927,0.26878,0.21178,0.14591,0.14691,0.13346,0.10656,0.086656,0.13083,0.13081,0.083209,0.083156,0.17064
17,0.40489,0.34518,0.28954,0.2085,0.21069,0.19205,0.15976,0.12673,0.18857,0.18855,0.11979,0.11969,0.24308
18,0.3744,0.31377,0.2572,0.18152,0.18295,0.16625,0.13587,0.1084,0.16303,0.16302,0.10299,0.1029,0.2121
19,0.32163,0.26135,0.20442,0.14041,0.14139,0.12851,0.10227,0.083521,0.126,0.12598,0.080362,0.080315,0.16417
20,0.42841,0.36994,0.31529,0.23086,0.23391,0.214,0.18053,0.14317,0.21043,0.21042,0.13502,0.13493,0.26845
21,0.42918,0.37076,0.31614,0.23162,0.2347,0.21475,0.18124,0.14374,0.21118,0.21116,0.13556,0.13546,0.2693
22,0.43109,0.37278,0.31825,0.23349,0.23665,0.2166,0.18302,0.14517,0.21303,0.21302,0.13689,0.1368,0.27141
23,0.29596,0.23681,0.18049,0.12309,0.1241,0.11311,0.08915,0.073983,0.111,0.11097,0.07169,0.071661,0.1437
24,0.40054,0.34066,0.28486,0.20452,0.20657,0.18819,0.15614,0.12391,0.18474,0.18472,0.1172,0.1171,0.23852
25,0.28625,0.2277,0.17179,0.117,0.11804,0.10775,0.084677,0.070737,0.10579,0.10577,0.068732,0.068708,0.13646
26,0.4204,0.36146,0.30645,0.2231,0.22582,0.20632,0.17322,0.13733,0.20277,0.20276,0.12959,0.12949,0.25967
27,0.32253,0.26223,0.20529,0.14105,0.14204,0.12909,0.10277,0.083885,0.12656,0.12654,0.080693,0.080645,0.16493
28,0.4042,0.34446,0.2888,0.20787,0.21003,0.19143,0.15918,0.12627,0.18796,0.18794,0.11937,0.11927,0.24235
29,0.43334,0.37517,0.32075,0.23571,0.23897,0.21882,0.18514,0.14688,0.21524,0.21523,0.13849,0.13839,0.27391
30,0.44756,0.39038,0.33668,0.25003,0.25395,0.23317,0.19894,0.15813,0.22961,0.22959,0.14906,0.14898,0.28998
31,0.38581,0.32543,0.26916,0.19135,0.19302,0.17556,0.14442,0.11488,0.17223,0.17221,0.10891,0.10882,0.22343
32,0.42005,0.36109,0.30606,0.22277,0.22548,0.20599,0.17291,0.13708,0.20244,0.20243,0.12936,0.12926,0.25929
33,0.42637,0.36778,0.31303,0.22887,0.23184,0.21202,0.17865,0.14166,0.20846,0.20845,0.13362,0.13352,0.2662
34,0.32129,0.26102,0.2041,0.14017,0.14115,0.12829,0.10208,0.083385,0.12579,0.12577,0.080239,0.080192,0.16389
35,0.40069,0.34081,0.28502,0.20466,0.20671,0.18832,0.15627,0.12401,0.18487,0.18485,0.11729,0.11719,0.23868
36,0.44666,0.38941,0.33566,0.24911,0.25298,0.23224,0.19804,0.1574,0.22867,0.22866,0.14837,0.14828,0.28895
37,0.33326,0.27269,0.21567,0.14885,0.14986,0.13611,0.10888,0.088352,0.13343,0.1334,0.084749,0.084692,0.17408
