DAY,# MILLION (first) DOSES ,CUMULATIVE MILLION (FIRST) DOSES,,,,,,,
21-Apr,0.714285714,82.14285714,,,,,,,
22-Apr,0.714285714,82.85714286,,,,,,,
23-Apr,0.714285714,83.57142857,,,,,,,
24-Apr,0.714285714,84.28571429,,,,,,,
25-Apr,0.714285714,85,,,,,,,
26-Apr,0.714285714,85.71428571,,,,,,,
27-Apr,0.714285714,86.42857143,,,,,,,
28-Apr,0.714285714,87.14285714,,,,,,,
29-Apr,0.714285714,87.85714286,,,,,,,
30-Apr,0.714285714,88.57142857,,,,,,,
1-May,0.714285714,89.28571429,,,,,,,
2-May,0.714285714,90,,,,,,,
3-May,0.714285714,90.71428571,,,,,,,
4-May,0.714285714,91.42857143,,,,,,,
5-May,0.714285714,92.14285714,,,,,,,
6-May,0.714285714,92.85714286,,,,,,,
7-May,0.714285714,93.57142857,,,,,,,
8-May,0.714285714,94.28571429,,,,,,,
9-May,0.714285714,95,,,,,,,
10-May,0.714285714,95.71428571,,,,,,,
11-May,0.714285714,96.42857143,,,,,,,
12-May,0.714285714,97.14285714,,,,,,,
13-May,0.714285714,97.85714286,,,,,,,
14-May,0.714285714,98.57142857,,,,,,,
15-May,0.714285714,99.28571429,,,,,,,
16-May,0.714285714,100,,,,,,,
17-May,0.714285714,100.7142857,,,,,,,
18-May,0.714285714,101.4285714,,,,,,,
19-May,0.714285714,102.1428571,,,,,,,
20-May,0.714285714,102.8571429,,,,,,,
21-May,0.714285714,103.5714286,,,,,,,
22-May,0.714285714,104.2857143,,,,,,,
23-May,0.714285714,105,,,,,,,
24-May,0.714285714,105.7142857,,,,,,,
25-May,0.714285714,106.4285714,,,,,,,
26-May,0.714285714,107.1428571,,,,,,,
27-May,0.714285714,107.8571429,,,,,,,
28-May,0.714285714,108.5714286,,,,,,,
29-May,0.714285714,109.2857143,,,,,,,
30-May,0.714285714,110,,,,,,,
31-May,0.714285714,110.7142857,,,,,,,
1-Jun,0.714285714,111.4285714,,,,,,,
2-Jun,0.714285714,112.1428571,,,,,,,
3-Jun,0.714285714,112.8571429,,,,,,,
4-Jun,0.714285714,113.5714286,,,,,,,
5-Jun,0.714285714,114.2857143,,,,,,,
6-Jun,0.714285714,115,,,,,,,
7-Jun,0.714285714,115.7142857,,,,,,,
8-Jun,0.714285714,116.4285714,,,,,,,
9-Jun,0.714285714,117.1428571,,,,,,,
10-Jun,0.714285714,117.8571429,,,,,,,
11-Jun,0.714285714,118.5714286,,,,,,,
12-Jun,0.714285714,119.2857143,,,,,,,
13-Jun,0.714285714,120,,,,,,,
14-Jun,0.714285714,120.7142857,,,,,,,
15-Jun,0.714285714,121.4285714,,,,,,,
16-Jun,0.714285714,122.1428571,,,,,,,
17-Jun,0.714285714,122.8571429,,,,,,,
18-Jun,0.714285714,123.5714286,,,,,,,
19-Jun,0.714285714,124.2857143,,,,,,,
20-Jun,0.714285714,125,,,,,,,
21-Jun,0.714285714,125.7142857,,,,,,,
22-Jun,0.714285714,126.4285714,,,,,,,
23-Jun,0.714285714,127.1428571,,,,,,,
24-Jun,0.714285714,127.8571429,,,,,,,
25-Jun,0.714285714,128.5714286,,,,,,,
26-Jun,0.714285714,129.2857143,,,,,,,
27-Jun,0.714285714,130,,,,,,,
28-Jun,0.714285714,130.7142857,,,,,,,
29-Jun,0.714285714,131.4285714,,,,,,,
30-Jun,0.714285714,132.1428571,,,,,,,
1-Jul,0.714285714,132.8571429,,,,,,,
2-Jul,0.714285714,133.5714286,,,,,,,
3-Jul,0.714285714,134.2857143,,,,,,,
4-Jul,0.714285714,135,,,,,,,
5-Jul,0.714285714,135.7142857,,,,,,,
6-Jul,0.714285714,136.4285714,,,,,,,
