ENSEMBLE,NV,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10 ,V11,NV_CURR
30,0.55446,0.51458,0.45225,0.31279,0.29167,0.24256,0.21982,0.17295,0.22969,0.2296,0.1506,0.14899,0.28998
31,0.50684,0.46134,0.39301,0.25893,0.22958,0.18575,0.16567,0.12775,0.1724,0.17222,0.11052,0.10884,0.22343
32,0.53343,0.49102,0.42608,0.28889,0.26306,0.2159,0.19447,0.15151,0.20256,0.20244,0.13101,0.12929,0.25929
33,0.53829,0.49646,0.43213,0.29439,0.2695,0.22183,0.20011,0.15624,0.20857,0.20845,0.13525,0.13354,0.2662
34,0.45478,0.40393,0.32909,0.20231,0.17301,0.1373,0.11896,0.091129,0.12607,0.12578,0.081318,0.080204,0.16389
35,0.51846,0.4743,0.40746,0.27198,0.24383,0.19846,0.17784,0.1377,0.18502,0.18486,0.11893,0.11721,0.23868
36,0.55377,0.51381,0.4514,0.31201,0.29071,0.24165,0.21895,0.17221,0.22876,0.22867,0.1499,0.1483,0.28895
37,0.46469,0.41477,0.34113,0.21281,0.1829,0.14551,0.1269,0.097086,0.13368,0.13342,0.085964,0.084707,0.17408
38,0.49873,0.45233,0.38297,0.24989,0.22,0.17732,0.15756,0.12119,0.16411,0.16391,0.10511,0.10349,0.2132
39,0.53291,0.49044,0.42543,0.28829,0.26237,0.21527,0.19387,0.15101,0.20192,0.2018,0.13056,0.12884,0.25855
40,0.42751,0.37439,0.29643,0.17436,0.14789,0.11698,0.099335,0.077227,0.10767,0.10734,0.070303,0.069595,0.13863
41,0.49683,0.45022,0.38062,0.24779,0.2178,0.17539,0.15571,0.11971,0.16223,0.16203,0.1039,0.10229,0.21086
42,0.54287,0.50159,0.43783,0.29959,0.27568,0.22754,0.20555,0.16083,0.21438,0.21427,0.1394,0.13771,0.27282
43,0.54333,0.5021,0.43841,0.30012,0.2763,0.22813,0.2061,0.1613,0.21497,0.21487,0.13983,0.13814,0.27349
44,0.48683,0.43915,0.36828,0.23677,0.20648,0.16555,0.14624,0.11215,0.15269,0.15248,0.097809,0.096284,0.19882
45,0.44817,0.39673,0.3211,0.1954,0.16664,0.13206,0.1139,0.087426,0.12127,0.12097,0.078418,0.077404,0.15739
46,0.4353,0.38278,0.30568,0.18218,0.15475,0.12244,0.10461,0.080838,0.11256,0.11224,0.073203,0.072382,0.14543
47,0.5306,0.48785,0.42255,0.28568,0.25934,0.2125,0.19123,0.1488,0.19913,0.199,0.1286,0.12688,0.25531
48,0.42346,0.37004,0.29165,0.17034,0.14441,0.11424,0.096695,0.075451,0.10523,0.1049,0.068865,0.068213,0.13522
49,0.51182,0.46689,0.3992,0.26451,0.23561,0.19111,0.1708,0.13193,0.1777,0.17753,0.11402,0.11233,0.22988
50,0.46569,0.41587,0.34235,0.21388,0.18392,0.14637,0.12773,0.097717,0.13448,0.13422,0.086456,0.085185,0.17514
51,0.46164,0.41143,0.33742,0.20956,0.17981,0.14293,0.12441,0.095201,0.13128,0.13101,0.084494,0.08328,0.17088
52,0.47709,0.4284,0.3563,0.22615,0.19586,0.15644,0.13745,0.10523,0.14398,0.14374,0.092335,0.090917,0.18761
53,0.53227,0.48972,0.42464,0.28757,0.26153,0.2145,0.19314,0.15039,0.20115,0.20102,0.13001,0.12829,0.25765
54,0.41797,0.36417,0.2852,0.16498,0.13982,0.11064,0.093241,0.073155,0.10204,0.1017,0.066994,0.066414,0.13075
55,0.53041,0.48764,0.42232,0.28546,0.25909,0.21227,0.19102,0.14862,0.1989,0.19877,0.12845,0.12672,0.25504
56,0.52801,0.48496,0.41934,0.28275,0.25598,0.20944,0.18832,0.14637,0.19604,0.1959,0.12646,0.12474,0.25171
57,0.50202,0.45599,0.38705,0.25356,0.22386,0.18071,0.16082,0.12382,0.16743,0.16724,0.10727,0.10562,0.21732
58,0.42939,0.37641,0.29866,0.17623,0.14952,0.11827,0.10058,0.078072,0.10882,0.1085,0.070985,0.07025,0.14024
59,0.41635,0.36243,0.28329,0.16341,0.13848,0.1096,0.092243,0.072497,0.10112,0.10078,0.066456,0.065896,0.12945
60,0.55497,0.51514,0.45288,0.31337,0.29238,0.24324,0.22046,0.17349,0.23038,0.23029,0.15111,0.14951,0.29074
61,0.43797,0.38567,0.30887,0.1849,0.15716,0.12438,0.10648,0.08214,0.1143,0.11399,0.074241,0.07338,0.14784
62,0.49018,0.44285,0.3724,0.24044,0.21022,0.16879,0.14936,0.11462,0.15581,0.1556,0.099791,0.098234,0.20279
63,0.45851,0.40801,0.33362,0.20625,0.17669,0.14034,0.1219,0.093315,0.12887,0.1286,0.083024,0.081855,0.16766
64,0.45776,0.40718,0.3327,0.20545,0.17594,0.13972,0.1213,0.092868,0.1283,0.12802,0.082675,0.081518,0.16689
65,0.41425,0.36019,0.28084,0.16138,0.13677,0.10827,0.090971,0.071661,0.099941,0.099605,0.06577,0.065236,0.12779
66,0.55624,0.51657,0.45447,0.31483,0.29417,0.24494,0.22208,0.17487,0.23212,0.23203,0.1524,0.15082,0.29267
67,0.43304,0.38035,0.303,0.1799,0.15274,0.12083,0.10305,0.079765,0.11112,0.1108,0.072345,0.071557,0.14343
68,0.49418,0.44729,0.37735,0.24486,0.21476,0.17274,0.15316,0.11766,0.15964,0.15944,0.10224,0.10065,0.20762
69,0.48913,0.44169,0.37111,0.2393,0.20905,0.16777,0.14838,0.11384,0.15483,0.15462,0.099166,0.097619,0.20154
70,0.5339,0.49155,0.42667,0.28942,0.26368,0.21647,0.19501,0.15196,0.20314,0.20301,0.13141,0.12969,0.25996
71,0.45937,0.40894,0.33466,0.20716,0.17754,0.14104,0.12258,0.093828,0.12953,0.12926,0.083424,0.082243,0.16854
72,0.46702,0.41732,0.34397,0.2153,0.18529,0.14751,0.12883,0.09856,0.13555,0.13529,0.087113,0.085824,0.17656
73,0.47678,0.42805,0.35591,0.22581,0.19552,0.15616,0.13718,0.10502,0.14371,0.14347,0.092166,0.090751,0.18725
74,0.46062,0.41031,0.33617,0.20848,0.17879,0.14208,0.12358,0.094579,0.13049,0.13022,0.08401,0.08281,0.16983
75,0.42708,0.37393,0.29592,0.17393,0.14751,0.11668,0.09905,0.077034,0.1074,0.10708,0.070148,0.069445,0.13826
76,0.54866,0.50807,0.44503,0.30617,0.28359,0.23494,0.21258,0.16678,0.22191,0.22181,0.14486,0.14321,0.28131
77,0.42106,0.36747,0.28882,0.16799,0.14239,0.11265,0.095168,0.074432,0.10382,0.10348,0.068037,0.067416,0.13324
78,0.53692,0.49492,0.43042,0.29284,0.26767,0.22014,0.19851,0.1549,0.20686,0.20674,0.13403,0.13232,0.26424
79,0.44482,0.39309,0.31707,0.19193,0.16348,0.12949,0.11141,0.085633,0.11892,0.11862,0.077007,0.076043,0.15419
80,0.5087,0.46341,0.39533,0.26101,0.23182,0.18774,0.16757,0.1293,0.17436,0.17419,0.11181,0.11013,0.22583
81,0.4473,0.39579,0.32006,0.1945,0.16582,0.13139,0.11326,0.086957,0.12066,0.12036,0.078049,0.077048,0.15655
82,0.464,0.41401,0.34029,0.21207,0.1822,0.14492,0.12633,0.096656,0.13313,0.13287,0.085629,0.084381,0.17335
83,0.43651,0.38409,0.30713,0.18341,0.15584,0.12332,0.10545,0.081425,0.11335,0.11303,0.073671,0.072833,0.14652
84,0.53493,0.4927,0.42795,0.29059,0.26504,0.21771,0.1962,0.15296,0.2044,0.20428,0.1323,0.13058,0.26141
85,0.46545,0.4156,0.34206,0.21363,0.18368,0.14616,0.12753,0.097566,0.13429,0.13403,0.086338,0.08507,0.17489
86,0.53986,0.49822,0.43409,0.29618,0.27161,0.22378,0.20197,0.15781,0.21055,0.21044,0.13666,0.13496,0.26847
87,0.47507,0.42618,0.35382,0.22397,0.1937,0.15462,0.13569,0.10386,0.14224,0.142,0.091255,0.089861,0.18535
88,0.44618,0.39457,0.31872,0.19334,0.16476,0.13053,0.11242,0.086358,0.11987,0.11958,0.077578,0.076593,0.15548
89,0.53015,0.48735,0.422,0.28517,0.25875,0.21196,0.19073,0.14838,0.19859,0.19846,0.12823,0.1265,0.25468
90,0.5326,0.49009,0.42504,0.28794,0.26196,0.21489,0.19351,0.15071,0.20154,0.20142,0.13029,0.12857,0.25811
91,0.55686,0.51727,0.45524,0.31554,0.29505,0.24578,0.22288,0.17555,0.23298,0.23289,0.15305,0.15147,0.29361
92,0.4869,0.43923,0.36836,0.23685,0.20656,0.16562,0.1463,0.1122,0.15275,0.15254,0.09785,0.096324,0.1989
93,0.55414,0.51421,0.45185,0.31243,0.29122,0.24214,0.21941,0.1726,0.22925,0.22916,0.15027,0.14867,0.2895
94,0.51055,0.46547,0.39762,0.26309,0.23406,0.18973,0.16948,0.13085,0.17633,0.17616,0.11312,0.11142,0.22823
95,0.42539,0.37211,0.29393,0.17225,0.14606,0.11553,0.097944,0.076288,0.10638,0.10605,0.069544,0.068866,0.13684
96,0.42711,0.37396,0.29596,0.17396,0.14754,0.11671,0.099073,0.07705,0.10743,0.1071,0.07016,0.069458,0.13829
97,0.44222,0.39027,0.31396,0.18925,0.16106,0.12753,0.10952,0.084283,0.11715,0.11684,0.07594,0.075016,0.15175
98,0.49366,0.44671,0.3767,0.24429,0.21417,0.17222,0.15266,0.11726,0.15914,0.15894,0.10192,0.10033,0.20699
99,0.47776,0.42913,0.35712,0.22688,0.19657,0.15705,0.13804,0.10569,0.14456,0.14432,0.092697,0.09127,0.18836
100,0.41961,0.36591,0.28712,0.16657,0.14117,0.1117,0.094256,0.073827,0.10297,0.10264,0.067543,0.066942,0.13206
