ENSEMBLE,NV,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10 ,V11,NV_CURR
1,0.51364,0.46891,0.40146,0.26655,0.23784,0.1931,0.17271,0.13348,0.17967,0.17951,0.11534,0.11364,0.23227
2,0.53901,0.49727,0.43303,0.29521,0.27047,0.22272,0.20096,0.15696,0.20948,0.20936,0.13589,0.13419,0.26724
3,0.55329,0.51326,0.45079,0.31145,0.29003,0.24101,0.21834,0.17168,0.2281,0.22801,0.14942,0.1478,0.28822
4,0.43422,0.38162,0.3044,0.18109,0.15379,0.12167,0.10386,0.080321,0.11187,0.11155,0.07279,0.071985,0.14447
5,0.50947,0.46427,0.39628,0.26187,0.23275,0.18857,0.16837,0.12994,0.17518,0.175,0.11235,0.11066,0.22682
6,0.4991,0.45274,0.38343,0.25031,0.22044,0.1777,0.15793,0.12149,0.16448,0.16429,0.10536,0.10373,0.21367
7,0.46622,0.41645,0.343,0.21445,0.18447,0.14682,0.12816,0.098052,0.13491,0.13465,0.086718,0.085439,0.17571
8,0.44845,0.39703,0.32144,0.19569,0.16691,0.13228,0.11411,0.087579,0.12147,0.12117,0.078538,0.077519,0.15766
9,0.43741,0.38506,0.3082,0.18433,0.15666,0.12397,0.10609,0.081865,0.11394,0.11362,0.074022,0.07317,0.14733
10,0.55445,0.51457,0.45224,0.31278,0.29166,0.24255,0.21981,0.17294,0.22968,0.22959,0.15059,0.14899,0.28997
11,0.53279,0.4903,0.42529,0.28816,0.26221,0.21513,0.19374,0.15089,0.20178,0.20166,0.13046,0.12874,0.25839
12,0.50397,0.45815,0.38946,0.25572,0.22616,0.18273,0.16276,0.12539,0.16941,0.16923,0.10856,0.1069,0.21977
13,0.55363,0.51364,0.45122,0.31184,0.2905,0.24146,0.21877,0.17205,0.22856,0.22847,0.14976,0.14815,0.28873
14,0.48228,0.43412,0.36267,0.23179,0.20146,0.16124,0.14208,0.10886,0.14855,0.14832,0.095195,0.093717,0.19351
15,0.42138,0.36781,0.2892,0.1683,0.14265,0.11286,0.095368,0.074566,0.104,0.10367,0.068145,0.067521,0.1335
16,0.4614,0.41116,0.33712,0.20931,0.17957,0.14273,0.12421,0.095054,0.13109,0.13083,0.08438,0.08317,0.17064
17,0.52172,0.47793,0.41151,0.27565,0.24793,0.20215,0.18136,0.1406,0.18871,0.18856,0.12143,0.11971,0.24308
18,0.49784,0.45134,0.38187,0.24891,0.21897,0.17641,0.15669,0.1205,0.16322,0.16303,0.10454,0.10292,0.2121
19,0.45506,0.40424,0.32943,0.20261,0.17329,0.13752,0.11918,0.091291,0.12628,0.12599,0.081445,0.080327,0.16417
20,0.53985,0.49821,0.43408,0.29616,0.2716,0.22376,0.20195,0.1578,0.21054,0.21042,0.13665,0.13495,0.26845
21,0.54044,0.49887,0.43481,0.29683,0.27239,0.2245,0.20265,0.15838,0.21128,0.21117,0.13718,0.13548,0.2693
22,0.5419,0.5005,0.43662,0.29849,0.27436,0.22632,0.20439,0.15985,0.21314,0.21303,0.13851,0.13682,0.27141
23,0.43335,0.38068,0.30337,0.18021,0.15301,0.12105,0.10327,0.07991,0.11131,0.11099,0.072461,0.071669,0.1437
24,0.51835,0.47416,0.40731,0.27185,0.24368,0.19832,0.17771,0.13759,0.18488,0.18473,0.11884,0.11712,0.23852
25,0.42494,0.37163,0.2934,0.17181,0.14568,0.11523,0.097655,0.076094,0.10611,0.10578,0.069387,0.068714,0.13646
26,0.5337,0.49132,0.42642,0.28919,0.26341,0.21622,0.19478,0.15177,0.20289,0.20277,0.13123,0.12952,0.25967
27,0.45582,0.40506,0.33035,0.20341,0.17403,0.13813,0.11977,0.091729,0.12684,0.12656,0.081786,0.080657,0.16493
28,0.52119,0.47733,0.41084,0.27505,0.24725,0.20154,0.18078,0.14012,0.1881,0.18795,0.12102,0.1193,0.24235
29,0.54362,0.50243,0.43877,0.30044,0.2767,0.22849,0.20645,0.16159,0.21534,0.21524,0.14009,0.13841,0.27391
