,NV,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,NV_CURR
1/11/21,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818
1/12/21,0.003331,0.0033244,0.0030921,0.0030921,0.0030921,0.0030921,0.0030283,0.0030283,0.0030921,0.0030921,0.0030283,0.0030283,0.0030963
1/13/21,0.0037786,0.0037593,0.0031158,0.0031158,0.0031158,0.0031158,0.0029414,0.0029414,0.0031158,0.0031158,0.0029414,0.0029414,0.0031277
1/14/21,0.0041899,0.0041568,0.003142,0.003142,0.003142,0.003142,0.0028746,0.0028746,0.003142,0.003142,0.0028746,0.0028746,0.0031614
1/15/21,0.0045937,0.0045448,0.0031689,0.0031689,0.0031689,0.0031689,0.0028191,0.0028191,0.0031689,0.0031689,0.0028191,0.0028191,0.003196
1/16/21,0.0050042,0.0049365,0.0031951,0.0031951,0.0031951,0.0031951,0.0027697,0.0027697,0.0031951,0.0031951,0.0027697,0.0027697,0.0032304
1/17/21,0.0054276,0.0053358,0.0032189,0.0032189,0.0032189,0.0032189,0.0027227,0.0027227,0.0032189,0.0032189,0.0027227,0.0027227,0.0032639
1/18/21,0.0058658,0.0057437,0.0032395,0.0032395,0.0032395,0.0032395,0.0026765,0.0026765,0.0032395,0.0032395,0.0026765,0.0026765,0.0032959
1/19/21,0.0063179,0.0061591,0.0032567,0.0032567,0.0032567,0.0032567,0.0026301,0.0026301,0.0032567,0.0032567,0.0026301,0.0026301,0.003326
1/20/21,0.0067812,0.0065788,0.00327,0.00327,0.00327,0.00327,0.002583,0.002583,0.00327,0.00327,0.002583,0.002583,0.0033537
1/21/21,0.0072517,0.0069987,0.0032793,0.0032793,0.0032793,0.0032793,0.002535,0.002535,0.0032793,0.0032793,0.002535,0.002535,0.0033789
1/22/21,0.0077244,0.0074136,0.0032844,0.0032844,0.0032844,0.0032844,0.002486,0.002486,0.0032844,0.0032844,0.002486,0.002486,0.0034011
1/23/21,0.0081935,0.0078179,0.0032851,0.0032851,0.0032851,0.0032851,0.0024358,0.0024358,0.0032851,0.0032851,0.0024358,0.0024358,0.0034203
1/24/21,0.0086523,0.0082054,0.0032813,0.0032813,0.0032813,0.0032813,0.0023847,0.0023847,0.0032813,0.0032813,0.0023847,0.0023847,0.0034363
1/25/21,0.0090939,0.0085699,0.0032729,0.0032729,0.0032729,0.0032729,0.0023325,0.0023325,0.0032729,0.0032729,0.0023325,0.0023325,0.0034489
1/26/21,0.0095111,0.0089054,0.0032599,0.0032599,0.0032599,0.0032599,0.0022794,0.0022794,0.0032599,0.0032599,0.0022794,0.0022794,0.0034579
1/27/21,0.0098968,0.0092062,0.0032424,0.0032424,0.0032424,0.0032424,0.0022256,0.0022256,0.0032424,0.0032424,0.0022256,0.0022256,0.0034633
1/28/21,0.010244,0.0094669,0.0032204,0.0032204,0.0032204,0.0032204,0.002171,0.002171,0.0032204,0.0032204,0.002171,0.002171,0.0034649
1/29/21,0.010548,0.0096835,0.003194,0.003194,0.003194,0.003194,0.0021159,0.0021159,0.003194,0.003194,0.0021159,0.0021159,0.0034628
1/30/21,0.010802,0.0098524,0.0031632,0.0031632,0.0031632,0.0031632,0.0020604,0.0020604,0.0031632,0.0031632,0.0020604,0.0020604,0.0034569
1/31/21,0.011003,0.0099714,0.0031282,0.0031282,0.0031282,0.0031282,0.0020045,0.0020045,0.0031282,0.0031282,0.0020045,0.0020045,0.0034471
2/1/21,0.011148,0.010039,0.0030892,0.0030892,0.0030892,0.0030892,0.0019485,0.0019485,0.0030892,0.0030892,0.0019485,0.0019485,0.0034335
2/2/21,0.011236,0.010057,0.0030495,0.0030464,0.003047,0.0030464,0.001893,0.0018924,0.0030464,0.0030464,0.0018924,0.0018924,0.0034161
2/3/21,0.011267,0.010024,0.0030853,0.003,0.003017,0.003,0.0018525,0.0018363,0.003,0.003,0.0018363,0.0018363,0.0033949
2/4/21,0.011242,0.0099441,0.0032955,0.0029503,0.0030189,0.0029503,0.0018453,0.0017805,0.0029503,0.0029503,0.0017805,0.0017805,0.0033701
2/5/21,0.011163,0.0098199,0.0035688,0.0028978,0.0030299,0.0028978,0.0018491,0.0017252,0.0028978,0.0028978,0.0017252,0.0017252,0.0033417
2/6/21,0.011034,0.009655,0.0037932,0.0028426,0.0030269,0.0028426,0.0018422,0.0016704,0.0028426,0.0028426,0.0016704,0.0016704,0.0033098
2/7/21,0.010858,0.0094535,0.0039892,0.0027851,0.0030143,0.0027851,0.0018286,0.0016162,0.0027851,0.0027851,0.0016162,0.0016162,0.0032746
2/8/21,0.01064,0.0092196,0.0041674,0.0027254,0.0029943,0.0027254,0.0018105,0.0015628,0.0027254,0.0027254,0.0015628,0.0015628,0.0032362
2/9/21,0.010386,0.0089579,0.0043326,0.0026638,0.0029685,0.0026638,0.0017894,0.0015101,0.0026638,0.0026638,0.0015101,0.0015101,0.0031948
2/10/21,0.010098,0.0086729,0.0044872,0.0026006,0.0029378,0.0026006,0.001766,0.0014582,0.0026006,0.0026006,0.0014582,0.0014582,0.0031506
2/11/21,0.0097843,0.008369,0.0046315,0.0025361,0.0029028,0.0025361,0.0017409,0.0014072,0.0025361,0.0025361,0.0014072,0.0014072,0.0031037
2/12/21,0.0094482,0.0080505,0.0047654,0.0024705,0.0028641,0.0024705,0.0017145,0.0013572,0.0024705,0.0024705,0.0013572,0.0013572,0.0030543
2/13/21,0.0090949,0.0077213,0.0048881,0.0024041,0.0028219,0.0024041,0.0016868,0.0013082,0.0024041,0.0024041,0.0013082,0.0013082,0.0030028
2/14/21,0.008729,0.0073852,0.0049987,0.002337,0.0027766,0.002337,0.0016582,0.0012603,0.002337,0.002337,0.0012603,0.0012603,0.0029491
2/15/21,0.0083545,0.0070453,0.0050965,0.0022695,0.0027285,0.0022695,0.0016286,0.0012134,0.0022695,0.0022695,0.0012134,0.0012134,0.0028937
2/16/21,0.0079756,0.0067049,0.0051806,0.0022018,0.0026778,0.0022018,0.0015983,0.0011677,0.0022018,0.0022018,0.0011677,0.0011677,0.0028366
2/17/21,0.0075954,0.0063664,0.0052503,0.0021341,0.0026248,0.0021341,0.0015673,0.001123,0.0021341,0.0021341,0.001123,0.001123,0.0027781
2/18/21,0.0072172,0.0060322,0.0053052,0.0020666,0.0025697,0.0020666,0.0015357,0.0010796,0.0020666,0.0020666,0.0010796,0.0010796,0.0027185
2/19/21,0.0068436,0.0057043,0.0053448,0.0019994,0.0025129,0.0019994,0.0015035,0.0010372,0.0019994,0.0019994,0.0010372,0.0010372,0.0026578
2/20/21,0.0064769,0.0053843,0.005369,0.0019328,0.0024545,0.0019328,0.001471,0.0009961,0.0019328,0.0019328,0.0009961,0.0009961,0.0025964
2/21/21,0.006119,0.0050735,0.0053778,0.0018668,0.0023947,0.0018668,0.001438,0.00095614,0.0018668,0.0018668,0.00095614,0.00095614,0.0025343
2/22/21,0.0057713,0.0047731,0.0053714,0.0018016,0.0023339,0.0018016,0.0014048,0.00091734,0.0018016,0.0018016,0.00091734,0.00091734,0.0024718
2/23/21,0.0054352,0.0044838,0.0053501,0.0017373,0.0022722,0.0017373,0.0013713,0.00087973,0.0017373,0.0017373,0.00087973,0.00087973,0.002409
2/24/21,0.0051117,0.0042062,0.0053144,0.0016741,0.0022099,0.0016741,0.0013377,0.00084328,0.0016741,0.0016741,0.00084328,0.00084328,0.0023462
2/25/21,0.0048013,0.0039408,0.005265,0.001612,0.0021472,0.001612,0.001304,0.000808,0.001612,0.001612,0.000808,0.000808,0.0022834
2/26/21,0.0045046,0.0036878,0.0052026,0.001551,0.0020842,0.001551,0.0012702,0.00077386,0.001551,0.001551,0.00077386,0.00077386,0.0022209
2/27/21,0.0042218,0.0034473,0.0051281,0.0014914,0.0020212,0.0014914,0.0012366,0.00074087,0.0014914,0.0014914,0.00074087,0.00074087,0.0021586
2/28/21,0.003953,0.0032193,0.0050425,0.0014331,0.0019583,0.0014331,0.001203,0.000709,0.0014331,0.0014331,0.000709,0.000709,0.0020969
3/1/21,0.0036981,0.0030035,0.0049466,0.0013762,0.0018957,0.0013762,0.0011695,0.00067823,0.0013762,0.0013762,0.00067823,0.00067823,0.0020356
3/2/21,0.003457,0.0027998,0.0048416,0.0013208,0.0018335,0.0013208,0.0011363,0.00064855,0.0013208,0.0013208,0.00064855,0.00064855,0.0019751
3/3/21,0.0032294,0.0026078,0.0047285,0.0012668,0.0017719,0.0012668,0.0011034,0.00061995,0.0012668,0.0012668,0.00061995,0.00061995,0.0019153
3/4/21,0.0030149,0.0024273,0.0046084,0.0012143,0.001711,0.0012143,0.0010707,0.00059239,0.0012143,0.0012143,0.00059239,0.00059239,0.0018564
3/5/21,0.0028131,0.0022577,0.0044823,0.0011634,0.0016509,0.0011634,0.0010384,0.00056585,0.0011634,0.0011634,0.00056585,0.00056585,0.0017984
3/6/21,0.0026236,0.0020987,0.0043513,0.001114,0.0015917,0.001114,0.0010065,0.00054033,0.001114,0.001114,0.00054033,0.00054033,0.0017414
3/7/21,0.0024458,0.0019498,0.0042164,0.0010661,0.0015335,0.0010661,0.00097497,0.00051577,0.0010661,0.0010661,0.00051577,0.00051577,0.0016854
